QuickSort_Hybrid
Input amount,unsorted
1000,0.001
2000,0.001
4000,0.001
6000,0.002
8000,0.003
10000,0.004
20000,0.008
40000,0.016
60000,0.027
80000,0.04
100000,0.051
200000,0.125
400000,0.285
600000,0.466
800000,0.667
1000000,0.876
2000000,2.025
4000000,4.697
6000000,7.669
8000000,10.911
10000000,14.485

Input amount,sorted
1000,0.0
2000,0.0
4000,0.001
6000,0.0
8000,0.001
10000,0.001
20000,0.003
40000,0.005
60000,0.009
80000,0.012
100000,0.015
200000,0.034
400000,0.074
600000,0.12
800000,0.16
1000000,0.201
2000000,0.438
4000000,0.941
6000000,1.55
8000000,2.056
10000000,2.723

Input amount,reverse
1000,0.001
2000,0.004
4000,0.015
6000,0.034
8000,0.061
10000,0.091
20000,0.289
40000,0.769
60000,0.896
80000,0.882
100000,1.565
200000,2.364
400000,3.133
600000,3.705
800000,4.559
1000000,3.877
2000000,5.861
4000000,7.243
6000000,8.493
8000000,10.097
10000000,11.948
